questao;a;b;c;d;e;gabarito
"De acordo com o texto e o art. 1.142 do Código Civil, como se define 'estabelecimento'?";"Apenas o local físico principal onde a empresa está sediada.";"O conjunto de normas internas que regem a sociedade empresária.";"A pessoa jurídica do empresário ou da sociedade empresária em si.";"todo complexo de bens organizados, para exercício da empresa, por empresário, ou por sociedade empresária.";"Exclusivamente os bens imóveis pertencentes à empresa.";d
"Qual a função ou papel do estabelecimento no contexto da atividade empresarial, conforme o texto?";"Representar legalmente a empresa perante órgãos públicos.";"Ser o local de residência dos sócios ou do empresário.";"Corresponde ao instrumento ou meio de ação da atividade empresarial.";"Garantir o pagamento de dividendos aos acionistas.";"Organizar as relações trabalhistas dentro da empresa.";c
"O texto menciona que o agrupamento dos elementos do estabelecimento pode ocorrer de modo descentralizado. Quais exemplos são dados para essa descentralização?";"Apenas por meio de lojas virtuais e plataformas online.";"Através da contratação de empresas terceirizadas.";"mediante sucursais, filiais, agências e postos";"Pela divisão da empresa em diferentes sociedades anônimas.";"Unicamente pela sede administrativa e o centro de produção.";c
"Segundo a exposição de Ricardo Negrão citada no texto, qual a característica comum às expressões 'sucursal', 'filial' e 'agências'?";"São entidades com personalidades jurídicas distintas da matriz.";"Possuem destinações jurídicas específicas e independentes.";"referem-se a uma mesma realidade: o estabelecimento subordinado a um principal.";"São termos utilizados exclusivamente para bancos e seguradoras.";"Representam empresas completamente autônomas em gestão e patrimônio.";c
"De acordo com Ricardo Negrão, as expressões 'sucursal', 'filial' e 'agências', embora mencionadas em leis, referem-se a que tipo de estrutura?";"Estruturas totalmente independentes da matriz.";"Empresas coligadas com participação acionária.";"Organizações não governamentais associadas à empresa.";"ramificações de uma estrutura administrativa";"Entidades criadas apenas para fins fiscais específicos.";d
"Conforme o entendimento do Superior Tribunal de Justiça (STJ) apresentado no texto, qual a natureza jurídica das filiais?";"São pessoas jurídicas autônomas, com patrimônio próprio.";"São consideradas estabelecimentos principais da pessoa jurídica.";"as filiais são estabelecimentos secundários da mesma pessoa jurídica, desprovidas de personalidade jurídica e patrimônio próprio.";"Possuem personalidade jurídica, mas patrimônio vinculado à matriz.";"São entidades temporárias criadas para projetos específicos.";c
"Segundo o STJ, qual o alcance da autonomia de uma filial?";"A autonomia da filial é total, abrangendo aspectos jurídicos, administrativos e operacionais.";"A autonomia da filial é apenas administrativa e operacional";"A filial possui autonomia jurídica, mas não operacional.";"A filial não possui qualquer tipo de autonomia, sendo totalmente dependente.";"A autonomia restringe-se à gestão de recursos humanos.";b
"Qual a implicação de um débito originado em uma filial, de acordo com a decisão do STJ mencionada?";"O débito obriga apenas o patrimônio alocado especificamente à filial.";"A pessoa jurídica principal responde apenas subsidiariamente pelo débito da filial.";"nada impedindo que o débito, nela originado, obrigue a pessoa jurídica, como um todo, e alcance a totalidade o seu patrimônio.";"O débito só alcança a matriz se comprovada a má-fé da filial.";"A filial é a única responsável, sem qualquer vínculo obrigacional com a matriz.";c
"Com as alterações recentes no Código Civil (Lei nº 14.382, de 2022), qual importante distinção foi feita em relação ao estabelecimento?";"O estabelecimento passou a ser definido unicamente como o local físico.";"O estabelecimento não se confunde com o local onde se exerce a atividade empresarial, que poderá ser físico ou virtual.";"Apenas locais virtuais agora são considerados estabelecimentos.";"O conceito de estabelecimento foi restrito às sociedades anônimas.";"O local físico deixou de ser relevante para a caracterização do estabelecimento.";b
"Nos casos em que o local de exercício da atividade empresarial é virtual, como o endereço pode ser informado para fins de registro, segundo o texto?";"Deve ser obrigatoriamente um endereço físico comercial.";"Poderá ser o endereço de qualquer um dos funcionários.";"o endereço informado, para fins de registro, poderá ser, conforme o caso, o endereço do empresário individual ou o de um dos sócios da sociedade empresária.";"Deve ser o endereço do provedor de hospedagem do site.";"Não é necessário informar endereço para estabelecimentos virtuais.";c
"Para estabelecimentos com local físico de exercício da atividade, a quem compete a fixação do horário de funcionamento, de acordo com o § 3º do art. 1.142 do Código Civil?";"Ao próprio empresário ou sociedade empresária, com total liberdade.";"Ao sindicato da categoria correspondente.";"Ao Governo Federal, por meio de decreto.";"a fixação do horário de funcionamento competirá ao Município";"Ao Ministério da Economia.";d